Route,Direction,StopOrder,StopID,PercentDone,ID
145,OB,28,435,48.62,616
145,OB,29,7353,49.66,617
145,OB,30,4571,51.66,618
145,OB,31,2013,52.9,619
145,OB,32,2014,54.2,620
145,OB,33,4636,55,621
145,OB,34,2016,56.74,622
145,OB,35,2015,57.7,623
145,OB,36,2017,58.36,624
145,OB,37,3259,59.46,625
145,OB,38,7361,60.39,626
145,OB,39,7362,62.23,627
145,OB,40,3129,63.63,628
145,OB,41,7638,64.83,629
145,OB,42,3130,65.38,630
145,OB,43,3131,66.1,631
145,OB,44,3132,66.67,632
145,OB,45,3133,67.22,633
145,OB,46,3134,69.01,634
145,OB,47,3135,70.29,635
145,OB,48,3136,71.84,636
145,OB,49,3138,72.93,637
145,OB,50,3139,74.69,638
145,OB,51,4124,75.69,639
145,OB,52,4125,76.77,640
145,OB,53,4126,77.11,641
145,OB,54,4127,77.73,642
145,OB,55,4128,78.19,643
145,OB,56,4129,80.25,644
145,OB,57,4130,82.7,645
145,OB,58,4131,83.37,646
145,OB,59,7294,85.22,647
145,OB,60,4132,87.06,648
145,OB,61,4171,88.65,649
145,OB,62,4172,89.75,650
145,OB,63,4173,90.98,651
145,OB,64,2962,92.29,652
145,OB,65,2963,93.64,653
145,OB,66,2964,94.69,654
145,OB,67,4175,97.14,655
145,OB,68,5091,97.78,656
145,OB,69,5092,98.45,657
145,OB,70,7574,100,658
14C,OB,1,248,-1.64,659
14C,OB,2,249,1.55,660
14C,OB,3,250,5.7,661
14C,OB,4,251,7.06,662
14C,OB,5,252,10.33,663
14C,OB,6,255,12.81,664
14C,OB,7,234,15.47,665
14C,OB,8,235,17.95,666
14C,OB,9,236,18.7,667
14C,OB,10,1190,23.97,668
14C,OB,11,1191,26.11,669
14C,OB,12,1192,27.5,670
14C,OB,13,1193,29.29,671
14C,OB,14,1194,30.48,672
14C,OB,15,1195,32.99,673
14C,OB,16,664,38.32,674
14C,OB,17,665,40.98,675
14C,OB,18,666,43.44,676
14C,OB,19,667,45.82,677
